hgnc	ensg	confidence	phenotype	panel	disease_group	moi
B3GLCT	ENSG00000187676	3	Peters-plus syndrome, OMIM:261540	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
AKT3	ENSG00000117020	3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2, OMIM:615937	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MYMK	ENSG00000187616	3	Carey-Fineman-Ziter syndrome, OMIM:254940	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
ICK	ENSG00000112144	2	Endocrine-cerebroosteodysplasia, OMIM:612651	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
LARGE1	ENSG00000133424	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6, OMIM:613154	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
ARSB	ENSG00000113273	3	Mucopolysaccharidosis type VI (Maroteaux-Lamy), OMIM:253200	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
B3GALNT2	ENSG00000162885	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11, OMIM:615181	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
BUB1B	ENSG00000156970	3	Mosaic variegated aneuploidy syndrome 1, OMIM:257300	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
CC2D2A	ENSG00000048342	3	Joubert syndrome 9, OMIM:612285	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
CCDC88C	ENSG00000015133	3	Hydrocephalus, nonsyndromic, autosomal recessive, OMIM:236600	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
CCND2	ENSG00000118971	3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3, OMIM:615938	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CENPF	ENSG00000117724	3	Stromme syndrome, OMIM:243605	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
CRB2	ENSG00000148204	3	Ventriculomegaly with cystic kidney disease, OMIM:219730	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
DAG1	ENSG00000173402	3	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9, OMIM:613818	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
DENND5A	ENSG00000184014	3	Epileptic encephalopathy, early infantile, 49, OMIM:617281	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
DHCR24	ENSG00000116133	3	Desmosterolosis, OMIM:602398	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
EML1	ENSG00000066629	3	Band heterotopia, OMIM:600348	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
ERF	ENSG00000105722	3	Craniosynostosis 4, OMIM:600775	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FAM20C	ENSG00000177706	3	Raine syndrome, OMIM:259775	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
FGFR1	ENSG00000077782	3	Pfeiffer syndrome, OMIM:101600	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FGFR2	ENSG00000066468	3	Apert syndrome, OMIM:101200	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FGFR3	ENSG00000068078	3	Achondroplasia, OMIM:100800	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FKRP	ENSG00000181027	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5, OMIM:613153	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
FKTN	ENSG00000106692	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, OMIM:253800	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
FLVCR2	ENSG00000119686	3	Proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome, OMIM:225790	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
GFAP	ENSG00000131095	3	Alexander disease, OMIM:203450	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GPSM2	ENSG00000121957	3	Chudley-McCullough syndrome, OMIM:604213	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
GUSB	ENSG00000169919	3	Mucopolysaccharidosis VII, OMIM:253220	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
HYLS1	ENSG00000198331	3	Hydrolethalus syndrome, OMIM:236680	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
IDS	ENSG00000010404	3	Mucopolysaccharidosis II, OMIM:309900	Hydrocephalus		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ISPD	ENSG00000214960	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7, OMIM:614643	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
KIAA0586	ENSG00000100578	3	Short-rib thoracic dysplasia 14 with polydactyly, OMIM:616546	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
L1CAM	ENSG00000198910	3	Corpus callosum, partial agenesis of, OMIM:304100	Hydrocephalus		X-LINKED: hemizygous mutation in males, biallelic mutations in females
MAN2B1	ENSG00000104774	3	Mannosidosis, alpha-, types I and II, OMIM:248500	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
NF1	ENSG00000196712	3	Neurofibromatosis, type 1, OMIM:162200	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NSD1	ENSG00000165671	3	Sotos syndrome 1, OMIM:117550	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
OSTM1	ENSG00000081087	3	Osteopetrosis, autosomal recessive 5, OMIM:259720	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
PIK3CA	ENSG00000121879	3	Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, OMIM:602501	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PIK3R2	ENSG00000105647	3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, OMIM:603387	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PLG	ENSG00000122194	3	Plasminogen deficiency, type I, OMIM:217090	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
POMGNT1	ENSG00000085998	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, OMIM:253280	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
POMT1	ENSG00000130714	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, OMIM:236670	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
POMT2	ENSG00000009830	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 2 613150	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
PPP2R5D	ENSG00000112640	3	Mental retardation, autosomal dominant 35, OMIM:616355	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PTCH1	ENSG00000185920	3	Basal cell nevus syndrome, OMIM:109400	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PTEN	ENSG00000171862	3	Macrocephaly/autism syndrome, OMIM:605309	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RNF125	ENSG00000101695	3	Tenorio syndrome, OMIM:616260	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPS6KA3	ENSG00000177189	3	Coffin-Lowry syndrome, OMIM:303600	Hydrocephalus		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
SKI	ENSG00000157933	3	Shprintzen-Goldberg syndrome, OMIM:182212	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STRADA	ENSG00000266173	3	Polyhydramnios, megalencephaly, and symptomatic epilepsy, OMIM:611087	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
SUMF1	ENSG00000144455	3	Multiple sulfatase deficiency, OMIM:272200	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
TCF12	ENSG00000140262	3	Craniosynostosis 3, OMIM:615314	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TMEM5	ENSG00000118600	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 10, OMIM:615041	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
TWIST1	ENSG00000122691	3	Saethre-Chotzen syndrome with or without eyelid anomalies, OMIM:101400	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
USP9X	ENSG00000124486	3	Mental retardation, X-linked 99, OMIM:300919	Hydrocephalus		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ZBTB20	ENSG00000181722	3	Primrose syndrome, OMIM:259050	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZIC2	ENSG00000043355	3	Holoprosencephaly 5, OMIM:609637	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZIC3	ENSG00000156925	3	VACTERL association, X-linked, OMIM:314390	Hydrocephalus		X-LINKED: hemizygous mutation in males, biallelic mutations in females
ARX	ENSG00000004848	2	Hydranencephaly with abnormal genitalia, OMIM:300215	Hydrocephalus		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
B3GNT2	ENSG00000170340	2	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A13, MONDO:0014120	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
EBP	ENSG00000147155	2	MEND syndrome, OMIM:300960	Hydrocephalus		X-LINKED: hemizygous mutation in males, biallelic mutations in females
FLNA	ENSG00000196924	2	Otopalatodigital syndrome, type II, OMIM:304120	Hydrocephalus		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
HDAC6	ENSG00000094631	2	?Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia, OMIM:300863	Hydrocephalus		X-LINKED: hemizygous mutation in males, biallelic mutations in females
KIF7	ENSG00000166813	2	?Hydrolethalus syndrome 2, OMIM:614120	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
PTCH2	ENSG00000117425	2	Basal cell nevus syndrome, OMIM:109400	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SEC24D	ENSG00000150961	2	Cole-Carpenter syndrome 2, OMIM:616294	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
WNT3	ENSG00000108379	2	?Tetra-amelia syndrome 1, OMIM:273395	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
POMGNT2	ENSG00000144647	3	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 8, OMIM:614830	Hydrocephalus		BIALLELIC, autosomal or pseudoautosomal
SUFU	ENSG00000107882	3	Basal cell nevus syndrome, OMIM:109400	Hydrocephalus		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SUZ12	ENSG00000178691	3	Imagawa-Matsumoto syndrome 618786	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PADI6	ENSG00000276747	3	Preimplantation embryonic lethality 2 OMIM:617234	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)
NLRP2	ENSG00000022556	2	Beckwith-Wiedemann syndrome due to imprinting defect of 11p15 MONDO:0016475	Segmental overgrowth disorders - Deep sequencing		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
AKT2	ENSG00000105221	2	Hypoinsulinemic hypoglycemia with hemihypertrophy, OMIM:240900	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AKT3	ENSG00000117020	3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2, 615937	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PTEN	ENSG00000171862	3	Bannayan-Riley-Ruvalcaba syndrome, 153480	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CDKN1C	ENSG00000129757	3	Beckwith-Wiedemann syndrome, 130650	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)
PIK3R2	ENSG00000105647	3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, 603387	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CCND2	ENSG00000118971	3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3, 615938	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RASA1	ENSG00000145715	3	Parkes Weber syndrome, 608355	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PIK3CA	ENSG00000121879	3	Megalencephaly-capillary malformation-polymicrogyria syndrome, 602501	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
AKT1	ENSG00000142208	3	Proteus syndrome, 176920	Segmental overgrowth disorders - Deep sequencing		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KDSR	ENSG00000119537	3	Erythrokeratodermia variabilis et progressiva 4, OMIM:617526	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
GTF2E2	ENSG00000197265	3	Trichothiodystrophy 6, nonphotosensitive, OMIM:616943	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
GJA1	ENSG00000152661	3	Erythrokeratodermia variabilis et progressiva 3, OMIM:617525	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ELOVL1	ENSG00000066322	3	Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies, OMIM:618527	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SREBF1	ENSG00000072310	2	Ichthyosis, follicular, with atrichia and photophobia syndrome 2, MIM# 619016, MONDO:0100221	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PERP	ENSG00000112378	2	Olmsted syndrome-2, MIM# 619208, MONDO:003091	Ichthyosis and erythrokeratoderma		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ASPRV1	ENSG00000244617	3	Ichthyosis, lamellar, autosomal dominant, OMIM:146750	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ALDH3A2	ENSG00000072210	3	Sjogren-Larsson syndrome, OMIM:270200	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
KRT2	ENSG00000172867	2	Ichthyosis bullosa of Siemens, OMIM:146800	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SPINK5	ENSG00000133710	3	"Netherton syndrome, OMIM: 	256500"	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
SLURP1	ENSG00000126233	3	Meleda disease, OMIM:248300	Ichthyosis and erythrokeratoderma		BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
SLC27A4	ENSG00000167114	3	Ichthyosis prematurity syndrome, OMIM:608649	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
PIGL	ENSG00000108474	3	CHIME syndrome, OMIM:280000	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
KRT1	ENSG00000167768	3	Palmoplantar keratoderma, nonepidermolytic, OMIM:600962	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DSP	ENSG00000096696	3	Keratosis palmoplantaris striata II, OMIM:612908	Ichthyosis and erythrokeratoderma		BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
DSC2	ENSG00000134755	3	Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair, OMIM:610476	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
CAST	ENSG00000153113	3	Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads, OMIM:616295	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
AQP5	ENSG00000161798	3	Palmoplantar keratoderma, Bothnian type, OMIM:600231	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ALOXE3	ENSG00000179148	3	Ichthyosis, congenital, autosomal recessive 3, OMIM:606545	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
ABCA12	ENSG00000144452	3	Ichthyosis, autosomal recessive 4B (harlequin), OMIM:242500	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
AAGAB	ENSG00000103591	3	Keratoderma, palmoplantar, punctate type IA, OMIM:148600	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SULT2B1	ENSG00000088002	3	Ichthyosis, congenital, autosomal recessive 14, OMIM:617571	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
FLG2	ENSG00000143520	3	"Peeling skin syndrome 6, OMIM: 	618084"	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
CLDN1	ENSG00000163347	3	Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis, OMIM:607626	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
LOR	ENSG00000203782	3	Vohwinkel syndrome with ichthyosis, OMIM:604117	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FLG	ENSG00000143631	3	Ichthyosis vulgaris, OMIM:146700	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ST14	ENSG00000149418	3	Ichthyosis, congenital, autosomal recessive 11, with hypotrichosis, OMIM:602400	Ichthyosis and erythrokeratoderma		BIALLELIC, autosomal or pseudoautosomal
RHBDF2	ENSG00000129667	3	Tylosis with esophageal cancer, OMIM:148500	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SMARCAD1	ENSG00000163104	2	Basan syndrome, OMIM:129200	Ichthyosis and erythrokeratoderma		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KRT17	ENSG00000128422	3	Steatocystoma multiplex, OMIM:184500	Ichthyosis and erythrokeratoderma		BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
